Nom,TEAM,POS,AGE,GP,MPG,MIN%Minutes Percentage,USG%Usage RateUsage,TO%Turnover,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player’s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
Brandon Boston Jr.,Lac,G,"20,22",40,"15,2","31,8","22,3","8,4",55,"0,855",167,"0,407",92,"0,304","0,425","0,471","6,7","2,3","7,9","0,9","8,4","0,5","0,28","0,65","6,3","94,8","107,2"
Chris Boucher,Tor,F-C,"29,1",54,"20,2","42,1","18,4","6,8",142,"0,768",227,"0,581",147,"0,279","0,517","0,568","9,2","5,8","15,7","0,3","2,5","0,67","1,02","0,59",5,122,"101,4"
James Bouknight,Cha,G,"21,41",27,"10,7","22,3","23,6","7,4",31,"0,871",87,"0,356",49,"0,347","0,415","0,468","5,2","1,7","8,5","0,8","10,3","0,22","0,04","0,44","7,2","101,9","109,6"
Avery Bradley,Lal,G,"31,22",49,"23,8","49,5","12,5","9,8",14,"0,857",123,"0,455",176,"0,381","0,523","0,533","6,6","2,3","5,1","0,8","4,7","0,94","0,18","0,67","3,9","103,3","107,8"
Tony Bradley,Chi,C-F,"24,1",44,"11,2","23,3","12,9","19,4",21,"0,667",107,"0,579",0,0,"0,579","0,594","3,1","3,7","18,4","0,5",6,"0,25","0,7","0,64","6,4","117,5","101,6"
Ignas Brazdeikis,Orl,F,"23,1",27,"8,8","18,4","15,8","9,2",14,"0,786",39,"0,41",34,"0,294","0,425","0,461","2,7","1,3","7,6","0,7","12,3","0,26","0,04","0,3","6,1",100,"106,3"
Miles Bridges,Cha,F,"23,91",56,"35,9","74,7","22,2",10,225,"0,8",528,"0,591",326,"0,307","0,541","0,579","19,7",7,"10,3","3,6","14,8","1,07","0,91","1,89","8,8","114,1","108,6"
Mikal Bridges,Pho,F,"25,46",56,"34,7","72,4","14,1","6,9",83,"0,867",345,"0,623",212,"0,373","0,599","0,623","13,2","4,2","6,4","2,2","8,3","1,23","0,45","0,79","5,7",125,"105,4"
Oshae Brissett,Ind,F-G,"23,66",45,"19,9","41,5","16,2","10,1",82,"0,659",146,"0,466",122,"0,344","0,489","0,52",7,"4,7","13,1","0,8","5,6","0,56","0,38","0,76",6,"108,8",109
Malcolm Brogdon,Ind,G,"29,18",28,"33,4","69,5","24,2","11,6",122,"0,861",261,"0,529",150,"0,307","0,504","0,558","18,5","5,1","8,5","5,9","27,8","0,86","0,39","2,18","9,9","115,3","111,6"
