Nom,TEAM,POS,AGE,GP,MPG,MIN%Minutes Percentage,USG%Usage RateUsage,TO%Turnover,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player’s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
Norvel Pelle,Uta,C,"29,03",3,"6,3","13,2",16,"28,6",0,0,5,"0,6",0,0,"0,6","0,6",2,2,"17,2",0,0,0,"0,33","0,67",0,"101,7","108,1"
Reggie Perry,Por,F-C,"21,9",2,"20,5","42,6","11,6","9,2",2,1,7,"0,429",2,"0,5","0,5","0,557","5,5","3,5","9,4",1,"6,9","0,5",0,"0,5","5,2","118,6","102,3"
Reggie Perry,Ind,F-C,"21,9",1,"9,9","20,6","4,3",0,0,0,1,1,0,0,1,1,2,1,"5,6",0,0,0,0,0,0,200,"86,7"
Jamorko Pickett,Det,F,"24,15",6,"7,8","16,2","11,9","23,1",0,0,3,0,7,"0,143","0,15","0,15","0,5","1,5","10,3","0,2","2,9",0,"0,17","0,5","2,7","39,1","112,3"
Theo Pinson,Dal,G-F,"26,28",16,"7,5","15,6","13,4","5,6",4,1,7,"0,429",25,"0,24","0,375","0,415","1,8","1,2","8,7","0,8","14,8","0,25","0,13","0,13","6,4","99,4","101,6"
Mason Plumlee,Cha,F-C,"31,95",49,"25,5","53,1","11,5","19,3",106,"0,34",227,"0,639",2,0,"0,633","0,591","6,7","7,9","16,3",3,"15,4","0,92","0,63","1,35","8,5","121,3","101,7"
Jakob Poeltl,San,C,"26,34",48,"28,8",60,"18,1","12,7",130,"0,469",457,"0,611",1,1,"0,612","0,604",13,9,"16,4","2,8","13,8","0,75","1,77","1,56","9,6","122,4","103,4"
Aleksej Pokusevski,Okc,C,"20,14",41,"16,2","33,8","18,8","16,7",16,"0,563",127,"0,496",106,"0,264","0,451","0,456","5,3","4,2","13,1","1,1","10,9","0,56","0,56","1,17","7,2","88,8","103,1"
Yves Pons,Mem,F,"22,78",7,"3,2","6,6","7,2",0,2,0,2,0,1,1,"0,5","0,387","0,4","0,7","11,8",0,0,0,0,0,0,,
Jordan Poole,Gol,G,"22,66",52,29,"60,4","24,7",14,164,"0,927",299,"0,559",363,"0,336","0,529","0,58","16,4","3,2","5,9","3,4","18,5","0,79","0,29","2,31","7,8","108,9","101,5"
Kevin Porter Jr.,Hou,G-F,"21,78",39,"30,1","62,7","23,6","20,8",127,"0,606",227,"0,419",234,"0,38","0,496","0,517","13,7","3,9","7,2","6,2","31,9","1,18","0,26","3,49","9,2","99,1","111,6"
Michael Porter Jr.,Den,F,"23,63",9,"29,5","61,4","19,8","10,1",9,"0,556",55,"0,491",48,"0,208","0,408","0,416","9,9","6,6","12,4","1,9",9,"1,11","0,22","1,33","6,8","86,5","105,8"
Otto Porter Jr.,Gol,F,"28,7",47,"21,5","44,8","15,2","6,5",33,"0,727",139,"0,568",177,"0,395","0,582","0,593","8,3","5,2","13,1","1,6","10,5","1,11","0,45","0,49","7,6","122,6","99,9"
Bobby Portis,Mil,F,"27,01",49,"28,8",60,"21,9","9,9",89,"0,753",381,"0,53",229,"0,419","0,567","0,585","15,5","9,1","16,6","1,2","6,8","0,71","0,84","1,45","7,7","115,7","101,3"
Kristaps Porzingis,Dal,F-C,"26,54",34,"29,5","61,4","28,4","8,3",170,"0,865",335,"0,537",173,"0,283","0,499","0,561","19,2","7,7","14,3",2,"11,9","0,74","1,74","1,56",9,"113,1","99,4"
Micah Potter,Det,F,"23,86",3,"10,3","21,5","17,8","7,8",2,1,9,"0,556",2,0,"0,455","0,505",4,3,"15,6",0,0,"0,33","0,33","0,33",0,"108,4","102,7"
Dwight Powell,Dal,F-C,"30,58",57,"20,4","42,5","13,1","12,9",123,"0,756",212,"0,684",31,"0,387","0,671","0,705","7,4","4,4","11,9","1,1",8,"0,49","0,42","0,77","6,5","139,5","98,1"
Myles Powell,Phi,G,20,11,"4,7","9,9","18,1","14,4",2,1,11,"0,364",6,"0,167","0,324","0,364","1,2","0,5","6,4","0,3",8,"0,09",0,"0,27","4,8",74,"98,1"
Norman Powell,Por,G,"28,73",40,"33,3","69,4","22,6",9,198,"0,803",313,"0,492",229,"0,406","0,542","0,593","18,7","3,3","5,4","2,1","9,8",1,"0,43","1,55","6,1","114,7","111,7"
Norman Powell,Lac,G,"28,73",3,"26,8","55,8","30,5",9,20,"0,85",28,"0,5",14,"0,429","0,548","0,62",21,3,"5,9",4,"26,1","0,67","0,67","1,67","9,4","123,8","104,6"
Joshua Primo,San,G,"19,15",29,16,"33,3","15,8","15,6",23,"0,783",64,"0,438",72,"0,333","0,471","0,5",5,"1,6","5,3","1,4","10,9","0,38","0,52","0,93","5,6","98,5","110,2"
Taurean Prince,Min,F,"27,9",45,"15,5","32,3",15,"12,4",37,"0,757",79,"0,544",124,"0,395","0,574","0,595","5,8","2,3",8,"0,9","7,8","0,58","0,22","0,69","5,9","112,5","106,3"
Payton Pritchard,Bos,G,"24,05",47,"12,1","25,3","19,2","11,6",14,1,85,"0,388",129,"0,364","0,484","0,502","4,7","1,6","6,8","1,6","20,1","0,19","0,09","0,62","7,6","105,2","103,5"
Trevelin Queen,Hou,G,20,8,"8,6","17,9",23,"18,8",3,1,7,"0,714",22,"0,364","0,586","0,61","4,6","1,8","11,2","0,4","7,1","0,63",0,"0,88","6,9","103,7","108,6"
Neemias Queta,Sac,C,"22,6",10,"5,6","11,7","22,3","13,7",5,"0,6",23,"0,391",0,0,"0,391","0,417","2,1","1,9","18,2","0,4","10,5","0,1","0,4","0,4","8,3","98,6","97,5"
Immanuel Quickley,Nyk,G,"22,67",54,"21,3","44,3","21,5","11,9",93,"0,914",194,"0,412",261,"0,322","0,453","0,501","9,2","2,2","5,6",3,22,"0,59","0,06","1,24","7,4",105,104
Jahmi'us Ramsey,Sac,G,"20,69",19,"7,1","14,7",22,"7,2",14,"0,5",40,"0,475",18,"0,278","0,457","0,468","3,2","0,7","5,2","0,4","7,9","0,05","0,05","0,26","5,4","95,2","113,5"
Julius Randle,Nyk,F-C,"27,21",56,"35,7","74,3","27,9","15,6",286,"0,762",647,"0,474",296,"0,301","0,467","0,514","19,6","10,2","15,3","5,3","25,5","0,75","0,57","3,54","11,4","102,8","102,9"
Austin Reaves,Lal,G,"23,72",38,"21,1",44,11,"9,7",53,"0,83",71,"0,69",91,"0,33","0,58","0,626","6,1","2,6","6,5","1,3",8,"0,26","0,26","0,53","5,2","125,1","110,5"
Cam Reddish,Atl,F-G,"22,46",34,"23,4","48,8","23,2","10,4",80,"0,9",190,"0,421",153,"0,379","0,487","0,537","11,9","2,5","5,7","1,1",7,"1,03","0,32","1,29","5,5","103,5","112,1"
Cam Reddish,Nyk,F-G,"22,46",8,"11,4","23,8","20,9","13,8",19,"0,947",16,"0,5",13,"0,154","0,379","0,535",5,1,"4,7","0,4","4,9","0,63","0,25","0,75","4,4","102,5","109,4"
Davon Reed,Den,G,"26,68",29,"13,8","28,7","11,6","7,6",5,"0,8",42,"0,524",53,"0,434","0,595","0,602",4,"2,5","10,1",1,"9,9","0,59","0,1","0,28","6,2","122,3","101,8"
Paul Reed,Phi,F,"22,67",23,"9,3","19,3","14,7","11,5",8,"0,375",54,"0,481",4,0,"0,448","0,447","2,4","2,7","15,8","0,4","6,7","0,74","0,52","0,35","5,9",107,"91,9"
Naz Reid,Min,C-F,"22,48",54,16,"33,4","21,8","12,4",110,"0,745",227,"0,524",119,"0,345","0,522","0,562","8,2","3,8","12,7","0,9",8,"0,43","1,02","1,04","7,6","110,8","101,3"
Nick Richards,Cha,C,"24,21",41,"8,4","17,5","14,7","17,5",41,"0,732",81,"0,679",0,0,"0,679","0,707","3,4",2,"12,2","0,3","5,3","0,22","0,46","0,51",6,"125,9","101,7"
Josh Richardson,Bos,G,"28,42",44,"24,7","51,5","16,7","9,4",71,"0,859",187,"0,481",156,"0,397","0,534","0,57","9,7","2,8","6,1","1,5",9,"0,77","0,52","0,89","5,6","113,2",103
Austin Rivers,Den,G,"29,54",43,"20,8","43,4","13,7",13,27,"0,704",80,"0,525",150,"0,34","0,515","0,529",6,"1,7","4,5","1,1","7,3","0,7","0,09","0,84","4,3","100,1","107,8"
Duncan Robinson,Mia,F,"27,82",54,"27,3","56,9","18,3","7,9",45,"0,822",87,"0,575",455,"0,363","0,549","0,562","11,7",3,"6,2","1,5","8,4","0,65","0,2","0,89","5,5","110,2","102,4"
Jeremiah Robinson-Earl,Okc,F,"21,28",44,23,48,"14,8","10,1",42,"0,714",142,"0,472",150,"0,333","0,486","0,506","7,1","5,8","12,7",1,"6,6","0,61","0,34","0,8",6,"105,3","104,4"
Justin Robinson,Mil,G,"24,35",17,"11,6","24,2",15,16,2,1,20,"0,4",37,"0,27","0,404","0,415","2,8","0,8","3,5","1,2",14,"0,47",0,"0,65","4,8","87,1",106
Justin Robinson,Sac,G,"24,35",3,5,"10,4","25,6","11,1",0,0,5,"0,2",3,0,"0,125","0,125","0,7","0,3","3,6","0,7","17,2",0,0,"0,33","4,2","37,9","107,7"
Justin Robinson,Det,G,"24,35",5,"18,2","37,9","16,7",14,6,"0,333",7,"0,143",21,"0,381","0,464","0,457","5,6","1,4","4,1","1,8","14,7","0,2","0,2",1,"5,3","91,7","111,8"
Mitchell Robinson,Nyk,C-F,"23,88",52,"25,5","53,1","11,4","11,6",131,"0,519",246,"0,764",0,0,"0,764","0,731","8,5","8,8","18,3","0,4","2,7","0,63","1,63","0,77","4,9","145,4",101
Isaiah Roby,Okc,F,"24,03",21,"14,5","30,2","18,3",14,23,"0,696",72,"0,583",28,"0,429","0,6","0,618","6,5","3,3","11,5","0,7","7,7","0,48","0,43","0,86","6,8","114,2",100
Rajon Rondo,Lal,G,"35,98",18,"16,1","33,5","15,7","32,1",2,"0,5",41,"0,366",30,"0,267","0,38","0,383","3,1","2,7",9,"3,7","30,1","0,67","0,28","1,89","7,8","83,8","105,2"
Rajon Rondo,Cle,G,"35,98",12,"21,6","45,1","18,1","20,7",19,"0,842",36,"0,444",40,"0,375","0,507","0,551","7,8","3,5","8,8","4,8","31,8","1,08",0,"1,83","9,4","109,9","99,7"
Derrick Rose,Nyk,G,"33,37",26,"24,5",51,"22,6","11,9",31,"0,968",182,"0,467",92,"0,402","0,513","0,541",12,3,"6,5",4,"27,7","0,85","0,46","1,5","8,6","112,1","112,7"
Terrence Ross,Orl,G-F,"31,03",50,"24,3","50,7","20,4","11,9",113,"0,867",241,"0,485",213,"0,319","0,482","0,532","10,7","2,6","5,6",2,"12,9","0,48","0,24","1,36","6,3","101,6","113,6"
Terry Rozier,Cha,G,"27,92",49,"33,5","69,9","23,2","7,2",121,"0,81",377,"0,501",408,"0,365","0,525","0,551","18,8","4,4","6,9","4,3","19,1","1,14","0,35","1,33","8,5","113,4","113,3"
Ricky Rubio,Cle,G,"31,32",34,"28,5","59,4","24,8","16,5",103,"0,854",237,"0,38",174,"0,339","0,434","0,488","13,1","4,1","7,9","6,6","34,6","1,44","0,21","2,65","9,9","102,2","100,2"
D'Angelo Russell,Min,G,"25,98",43,"32,1","66,8","26,1","12,9",152,"0,816",320,"0,484",363,"0,355","0,51","0,547","19,1","3,5","5,8","6,9","33,3","0,95","0,47","2,58","9,6","112,1","110,4"
Domantas Sabonis,Ind,F-C,"25,79",47,"34,7","72,3","21,8","17,3",258,"0,74",463,"0,639",108,"0,324","0,61","0,649","18,9","12,1","19,2",5,"22,9","0,98","0,47","3,04","12,1","123,2","104,7"
Domantas Sabonis,Sac,F-C,"25,79",3,"30,6","63,8","23,9","17,5",8,"0,625",36,"0,583",3,0,"0,538","0,553","15,7","11,3","19,8","4,7","24,9","0,67","0,33",3,"12,3","106,3","101,4"
Olivier Sarr,Okc,C,"22,99",2,"6,8","14,2","12,4",0,2,1,2,"0,5",1,0,"0,333","0,515",2,"2,5","18,7",0,0,0,1,0,0,"113,7","99,7"
Tomas Satoransky,Nor,G,"30,3",32,15,"31,3","12,7","16,3",25,"0,76",76,"0,355",31,"0,161","0,322","0,373","2,8",2,"7,3","2,4","21,4","0,44","0,03","0,72","6,3","94,4","109,5"
Jordan Schakel,Was,G,"23,68",2,"7,1","14,8","18,8",0,0,0,3,0,3,0,0,0,0,"1,5","11,5",0,0,0,0,0,0,"28,6",120
Admiral Schofield,Orl,F,"24,88",23,11,"22,8","12,9","14,7",7,"0,714",24,"0,708",37,"0,324","0,574","0,585","3,3","1,9","9,3","0,7","8,9","0,13","0,17","0,48",6,"106,8","104,6"
Dennis Schroder,Bos,G,"28,42",49,"29,2","60,9",23,"13,8",145,"0,848",392,"0,485",192,"0,349","0,497","0,543","14,4","3,3","6,1","4,2",23,"0,84","0,1","2,12",8,"107,7","102,4"
Trevon Scott,Cle,F,"25,22",2,"5,7","11,9","23,2",0,0,0,5,"0,6",1,0,"0,5","0,5",3,1,"9,5",0,0,"0,5","0,5",0,0,"107,1","88,3"
Jay Scrubb,Lac,G,"21,46",18,"6,7","14,1","20,8","12,2",10,"0,7",25,"0,48",21,"0,286","0,457","0,486","2,7","0,9","6,9","0,4","9,8","0,22","0,17","0,39","5,9",93,"105,6"
Wayne Selden,Nyk,G,"27,38",3,"6,4","13,3","13,2",0,4,"0,5",2,0,2,"0,5","0,375","0,434","1,7","0,3","2,8","0,3","7,2",0,0,0,"3,3","102,7","112,8"
Alperen Sengun,Hou,C,"19,56",48,"18,6","38,8","22,3","20,8",157,"0,694",244,"0,533",60,"0,25","0,502","0,555","8,6","4,6","13,7","2,5","20,6","0,77","0,94","2,04","9,9","105,9","102,2"
Collin Sexton,Cle,G,"23,12",11,"28,8","59,9","27,7","15,6",39,"0,744",106,"0,538",45,"0,244","0,487","0,523",16,"3,3","6,2","2,1",12,"0,91",0,"2,82","6,7","95,8",103
Landry Shamet,Pho,G,"24,93",45,"19,8","41,3","16,3","7,1",54,"0,852",88,"0,409",201,"0,353","0,493","0,529","7,4","1,9","5,1","1,6","10,2","0,47","0,09","0,53","5,7","109,8","106,1"
Day'Ron Sharpe,Bro,F,"20,28",29,"12,8","26,7","21,5","15,7",37,"0,568",136,"0,581",4,"0,25","0,575","0,582","6,3","5,2",22,"0,5","6,2","0,34","0,52",1,"7,9","117,3","96,2"
Pascal Siakam,Tor,F,"27,87",43,"37,8","78,6","25,2","12,2",230,"0,735",598,"0,53",137,"0,35","0,529","0,566",22,"8,7","12,5","5,1","22,3","1,26","0,74","2,7","10,5","115,2","103,6"
Chris Silva,Min,F,"25,41",1,"3,5","7,3",0,,0,0,0,0,0,0,,,0,1,"15,1",0,0,0,0,0,0,,
Chris Silva,Mia,F,"25,41",9,"9,7","20,3","14,3","28,3",12,"0,833",15,"0,533",0,0,"0,533","0,641","2,9","3,9","22,5","0,8",11,0,"0,11","0,89","8,6","119,5","83,7"
Marko Simonovic,Chi,C,"22,34",9,"3,9","8,1","27,3","9,2",11,"0,727",10,"0,3",5,"0,2","0,3","0,428","1,9","1,1","15,8",0,0,"0,11","0,11","0,22",0,,
Anfernee Simons,Por,G,"22,69",52,"29,2","60,9","24,3","11,5",92,"0,88",317,"0,498",395,"0,397","0,553","0,577","16,7","2,7",5,"3,8","21,7","0,54","0,12","1,88","7,6",112,"113,3"
Jericho Sims,Nyk,C,"23,32",18,"6,5","13,5","5,6","13,6",4,"0,75",11,"0,727",0,0,"0,727","0,745","1,1","1,5","12,3","0,1","1,2","0,17","0,39","0,11","3,4","150,3","104,6"
Deividas Sirvydis,Det,F-G,"21,68",3,"8,9","18,5","16,1",0,0,0,3,0,7,"0,143","0,15","0,15",1,2,"12,1","0,3","5,1",1,"0,33",0,"3,8","40,3","93,5"
Javonte Smart,Mil,G,"22,7",13,"12,3","25,6","14,7","16,5",6,"0,833",25,"0,28",18,"0,222","0,302","0,34","2,4","1,5","6,3","1,1","11,2","0,31","0,15","0,69","5,1",77,"107,7"
Marcus Smart,Bos,G,"27,95",49,"33,1",69,"17,5","15,8",134,"0,791",250,"0,504",236,"0,309","0,485","0,529","11,8",4,"6,4","5,4","23,8","1,9","0,29","2,08","7,7","108,7","101,3"
Dennis Smith Jr.,Por,G,"24,23",37,"17,3",36,"18,3",19,64,"0,656",162,"0,451",27,"0,222","0,434","0,474","5,6","2,4","7,5","3,6","30,1","1,22","0,32","1,38","8,4",102,107
Ish Smith,Cha,G,"33,61",37,"13,8","28,8","18,9","15,7",19,"0,632",160,"0,394",25,"0,4","0,422","0,434","4,5","1,5","5,8","2,6","26,3","0,54","0,27","0,97","7,5","94,8","111,1"
Ish Smith,Was,G,"33,61",2,20,"41,6","18,9","11,8",0,0,13,"0,538",2,"0,5","0,567","0,567","8,5",2,"5,5","5,5","44,2",2,"0,5",1,"9,1","125,3","103,2"
Jalen Smith,Pho,F-C,"21,92",29,"13,2","27,4","20,6","12,1",52,"0,769",98,"0,551",39,"0,231","0,493","0,547",6,"4,8","19,3","0,2","2,1","0,21","0,62","0,76","5,4","113,4","93,8"
Jalen Smith,Ind,F-C,"21,92",2,22,"45,8","22,1","13,3",6,"0,667",10,"0,8",7,"0,429","0,735","0,738","14,5","7,5","18,9",0,0,"0,5",1,"1,5",0,"127,5","105,5"
Xavier Sneed,Mem,F,20,2,"3,9",8,"10,7",0,0,0,0,0,2,0,0,0,0,1,"13,6",0,0,0,0,0,0,,
Tony Snell,Por,G,"30,27",38,"14,4","29,9","8,7","10,1",3,1,22,"0,545",75,"0,32","0,495","0,503","2,6","1,9","7,2","0,6","5,2","0,21","0,18","0,29",4,"103,9","110,7"
Jaden Springer,Phi,G,"19,39",2,"2,8","5,8","16,1",50,0,0,1,1,0,0,1,1,1,1,"19,8",0,0,0,1,"0,5",0,,
Cassius Stanley,Det,G,"22,5",9,"17,2","35,9","15,6","10,6",10,1,29,"0,517",17,"0,235","0,457","0,516","5,8","2,1","6,6","0,4",4,"0,56","0,22","0,67","3,9","100,7",107
Nik Stauskas,Mia,G,"28,36",2,"11,9","24,7","18,2",0,4,"0,75",4,"0,25",4,"0,5","0,5","0,564","5,5","1,5","7,1","0,5","6,1",0,0,0,"5,4","127,7","110,7"
Lance Stephenson,Atl,F,"31,45",6,"11,6","24,1","11,3","22,4",2,"0,5",10,"0,5",3,0,"0,385","0,396","1,8","2,5","11,7","1,8","20,3",0,0,"0,67","6,9","91,3","105,1"
Lance Stephenson,Ind,F,"31,45",22,"19,1","39,7","24,9","16,9",46,"0,826",127,"0,543",55,"0,273","0,503","0,546",10,3,"8,7","4,1","34,1","0,5","0,05","1,86","10,4","108,3","106,4"
Lamar Stevens,Cle,F,"24,61",41,"14,3","29,8","16,3","10,2",40,"0,625",133,"0,534",44,"0,295","0,511","0,529",5,"2,2","8,4","0,6","6,3","0,49","0,22","0,54","5,2","106,1","99,4"
Isaiah Stewart,Det,F-C,"20,74",49,"25,9",54,"14,6","14,6",72,"0,667",314,"0,551",24,"0,125","0,525","0,545","8,2","8,5","17,5","1,1","6,6","0,33","1,14","1,29","6,6","110,5","104,4"
Max Strus,Mia,G-F,"25,89",45,"24,1","50,2","18,1","8,1",42,"0,762",93,"0,548",296,"0,409","0,598","0,61",11,"3,3","7,7","1,3","8,3","0,33","0,22","0,8",6,"116,9","105,5"
Jalen Suggs,Orl,G,"20,7",38,28,"58,3","25,5","18,7",135,"0,77",292,"0,442",158,"0,234","0,41","0,464","12,4","3,7","7,1","4,4","24,7","1,26","0,42","3,08","8,4","89,2","104,6"
Craig Sword,Was,G,"28,08",3,"6,3","13,2","11,7",20,0,0,3,1,1,0,"0,75","0,75",2,0,0,"0,3","7,9","1,33",0,"0,33",0,"115,5",68
Keifer Sykes,Ind,G,"28,13",19,"18,9","39,3","18,5","15,6",14,"0,857",65,"0,415",59,"0,305","0,435","0,461","6,3","1,8","5,4",2,"14,9","0,37","0,16","1,26",6,"92,3","108,8"
Jae'Sean Tate,Hou,F,"26,3",54,"27,4","57,1","19,8","14,9",146,"0,699",383,"0,577",142,"0,289","0,538","0,566","12,4","5,5","11,1","3,1",18,"0,98","0,59","1,91","8,7","111,2","105,3"
Jayson Tatum,Bos,F-G,"23,96",54,"36,1","75,3","31,9","10,9",324,"0,843",667,"0,504",454,"0,326","0,498","0,55","25,7","8,4","12,3","4,1","20,2","0,98","0,7","2,87","10,6","108,6",101
Terry Taylor,Ind,G,"22,4",11,"16,3","33,9",20,"4,8",12,"0,833",66,"0,561",8,"0,5","0,581","0,605","8,7","6,5",22,"1,5","15,7","0,09","0,18","0,36","10,8","139,6","105,7"
Garrett Temple,Nor,G-F,"35,78",53,"19,3","40,1",14,"11,5",39,"0,718",104,"0,481",170,"0,324","0,484","0,503","5,5","2,5","7,3","1,3","9,8","0,74","0,42","0,72","5,4","102,6","107,6"
Emanuel Terry,Pho,F,"26,49",3,"6,1","12,6","23,7",50,0,0,5,0,0,0,0,0,0,5,"43,8","0,7","12,2","0,33",0,"1,67",0,62,"77,5"
Tyrell Terry,Mem,G,"21,38",2,"1,6","3,2","13,3",0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,,
Jon Teske,Mem,C,20,3,"2,6","5,4","9,9",0,2,0,1,0,0,0,0,0,0,"0,7","13,4","0,3","14,4","0,33",0,0,0,,
Daniel Theis,Hou,F-C,"29,87",26,"22,5","46,8","16,5","13,6",40,"0,675",100,"0,61",79,"0,291","0,534","0,554","8,4",5,"12,2","0,8","5,2","0,42","0,65","1,19","5,7","104,6","108,6"
Brodric Thomas,Bos,G,"25,05",7,"3,9","8,2","20,5","23,3",2,1,3,"0,333",6,0,"0,111","0,202","0,6","0,7","9,6","0,7","23,4",0,0,"0,43","6,8",,
Cam Thomas,Bro,G,"20,34",46,"19,1","39,9","21,7","8,6",71,"0,817",237,"0,549",136,"0,272","0,497","0,531","9,3","2,5","7,1","1,3","9,8","0,54","0,15","0,83","6,5",104,"110,9"
Isaiah Thomas,Lal,G,"33,02",4,"25,3","52,6","20,8","10,2",11,"0,727",17,"0,412",22,"0,227","0,372","0,422","9,3",2,"4,2","1,5","8,1",0,"0,5","1,25","4,8","85,3",106
Isaiah Thomas,Dal,G,"33,02",1,"13,3","27,7","26,9",0,0,0,5,"0,6",3,0,"0,375","0,375",6,0,0,4,"51,5",0,0,0,0,"100,9","116,4"
Matt Thomas,Chi,G,"27,54",34,"12,9","26,8","13,8","5,1",17,"0,765",39,"0,436",84,"0,393","0,541","0,559","4,3","1,4",6,"0,6","5,7","0,21","0,09","0,21","4,8","112,1",113
Klay Thompson,Gol,G,"32,02",15,"24,9","51,8","29,9","8,6",27,"0,963",109,"0,468",113,"0,381","0,52","0,549","17,1","3,7","8,1",3,"20,7","0,6","0,47","1,47","9,2","107,7","103,9"
Tristan Thompson,Sac,C-F,"30,93",30,"15,2","31,6","19,4","14,1",60,"0,533",150,"0,5",1,1,"0,507","0,521","6,2","5,4",19,"0,6","5,9","0,37","0,4","0,97","7,2","108,9","104,5"
Tristan Thompson,Ind,C-F,"30,93",2,"15,1","31,5","14,1","10,1",2,"0,5",8,"0,125",0,0,"0,125","0,169","1,5","3,5","12,8","0,5","4,1",0,0,"0,5","3,7",60,"112,5"
JT Thor,Cha,F,"19,47",17,"8,5","17,6","13,3",11,10,"0,7",15,"0,533",21,"0,286","0,472","0,507","2,4","1,3",8,"0,6",9,"0,35","0,41","0,29","5,8","106,8","105,3"
Matisse Thybulle,Phi,G-F,"24,95",41,"26,7","55,7","9,4","11,4",21,"0,714",95,"0,716",98,"0,306","0,585","0,596","5,9","2,3","4,8","1,1","5,9","1,88","1,1","0,63","3,7","114,4","103,4"
Killian Tillie,Mem,F-C,"23,95",32,"13,3","27,8","12,6","8,4",8,"0,625",39,"0,41",77,"0,338","0,474","0,481","3,6","1,7","6,8","0,6","5,9","0,72","0,44","0,34","4,6","105,6","100,3"
Xavier Tillman,Mem,F,"23,09",39,"13,1","27,2","16,2",13,48,"0,646",118,"0,525",35,"0,2","0,474","0,505","4,5",3,"11,9",1,"10,4","1,05","0,36","0,67","7,3","108,3","100,2"
Isaiah Todd,Was,F,"20,33",9,"3,9","8,2","22,3","5,6",4,"0,5",5,"0,2",10,"0,4","0,467","0,477","1,8",1,"13,8","0,1","4,1","0,22","0,22","0,11","5,8",,
Obi Toppin,Nyk,F,"23,95",53,"15,1","31,5","20,4",11,86,"0,744",204,"0,632",90,"0,233","0,546","0,58","7,3","3,6","12,6","0,9","9,9","0,26","0,42","0,77","7,6","114,3","103,7"
Juan Toscano-Anderson,Gol,F,"28,85",56,"14,5","30,2","15,4","20,9",57,"0,596",129,"0,597",73,"0,301","0,545","0,559","4,5","2,6","9,8","1,9","18,1","0,7","0,27","1,07","7,8","105,2","96,5"
Karl-Anthony Towns,Min,C-F,"26,25",50,"34,1","71,1","27,4","14,7",291,"0,818",572,"0,573",255,"0,408","0,585","0,631","24,1","9,6","14,9",4,"19,6",1,"1,14","3,28","11,4","119,4","102,8"
Gary Trent Jr.,Tor,G-F,"23,08",47,"34,8","72,5","21,5","5,6",106,"0,821",355,"0,465",373,"0,397","0,532","0,556","18,3","2,6","4,1","1,9","8,6","1,91","0,32","0,98","5,2","114,7","109,4"
P.J. Tucker,Mia,F,"36,78",50,"28,3",59,"12,1","12,7",50,"0,72",162,"0,537",153,"0,458","0,61","0,623","8,4","5,4","10,8","2,1","10,7","0,82","0,22","0,98","6,5","124,1","102,1"
Rayjon Tucker,Den,G,"24,4",3,"9,8","20,3","5,7",0,4,"0,75",0,0,2,"0,5","0,75","0,798",2,"1,3","7,6","1,3","16,8","0,33",0,0,"6,1","188,6","103,6"
Myles Turner,Ind,C-F,"25,9",42,"29,4","61,2","17,2","10,9",105,"0,752",210,"0,662",183,"0,333","0,587","0,615","12,9","7,1","13,3",1,"5,3","0,67","2,81","1,29","6,1","117,6","105,9"
Jonas Valanciunas,Nor,C,"29,78",51,"31,3","65,2","23,7","14,6",207,"0,821",540,"0,565",116,"0,397","0,57","0,614",18,"11,5","20,3","2,6","14,1","0,47","0,92","2,51","10,4",117,"101,8"
Denzel Valentine,Cle,G,"28,25",22,"9,3","19,3","15,6","13,9",0,0,18,"0,278",44,"0,409","0,516","0,516","2,9","1,7","10,1","0,5","7,6","0,32",0,"0,45","5,8","99,9","100,1"
Denzel Valentine,Uta,G,"28,25",2,"9,3","19,3","14,1","33,3",0,0,1,1,3,"0,333","0,625","0,625","2,5",2,"11,8",0,0,"0,5",0,1,0,75,"91,6"
Jarred Vanderbilt,Min,F,"22,87",52,26,"54,1","10,9","14,5",89,"0,663",250,"0,616",11,"0,182","0,602","0,621","7,2","8,8","18,1","1,3",7,"1,5","0,73","0,98","6,7","129,3","101,2"
Fred VanVleet,Tor,G,"27,97",50,"38,4",80,"24,1","12,5",175,"0,874",366,"0,443",501,"0,401","0,535","0,572","21,6","4,6","6,5",7,"28,2","1,64","0,52","2,7","9,2","117,5",109
