ID,Nom,Âge,Taille,Poids,Nationalité,Poste,Matchs,E,T,P,D,J,R,Temps,Club
8441,DE BENEDITTIS Wayan,22,185,115,France,Pilier,12,,,,,,,363,Castres
8578,BORDENAVE Téo,20,189,121,France,Pilier,2,,,,,,,25,Pau
8654,FOURSANS-BOURDETTE Louis,20,171,81,France,Ouverture,10,,7,8,,,,280,Montpellier
8658,RODGERS Robert,20,182,107,Afrique du sud,Pilier,2,,,,,,,16,Montpellier
8778,TAPUELUELU Wesley,22,180,114,Tonga,Pilier,8,,,,,1,,219,Brive
8867,SOSENE-FEAGAI Michelangelo,28,185,107,Samoa,Talonneur,12,1,,,,1,,332,Toulon
8874,TAOFIFENUA Killian,21,178,104,France,Talonneur,1,,,,,1,,20,Perpignan
8875,DUBOIS Lucas,23,188,92,France,Ailier,11,2,,,,,,639,Perpignan
8929,MICHET Gabin,20,180,83,France,Ouverture,6,,,,1,,,183,Clermont
8930,LE GARREC Nolann,19,175,75,France,Mêlée,10,2,5,9,,,,426,Racing 92
8962,FLAMENT Thibaud,24,203,116,France,2ème ligne,11,,,,,,,589,Toulouse
9051,DEBAËS Thibault,20,179,85,France,Ouverture,5,1,2,1,,1,,235,Pau
9077,DYER Johnny,30,190,112,Fidji,2ème ligne,16,2,,,,1,,1143,Biarritz
9187,KAFATOLU Mateaki,32,183,105,Nouvelle-Zélande,3ème ligne,1,,,,,,,74,Castres
9231,PIETERSE Ryno,23,197,114,Afrique du sud,2ème ligne,3,,,,,,1,84,Castres
9321,GARCIA Matéo,19,174,79,France,Ouverture,4,,1,,,,,31,Bordeaux
9376,WILLIAM Théo,21,194,109,France,3ème ligne,3,,,,,,,87,Lyon
9651,YEMSI Eliott,19,181,121,France,Pilier,1,,,,,,,0,Toulon
9719,LE BRUN Louis,19,190,96,France,Centre,1,,,,,,,80,Castres
9731,TUIMABA Aminiasi,26,185,96,Fidji,Ailier,12,3,,,,,1,907,Pau
9771,CHAMP Paul,21,188,89,France,Ailier,2,,,,,,,105,Paris
9778,LEVRON Alexis,21,169,76,France,Mêlée,7,,,,,,,152,Pau
9789,BOCHATON Pierre,20,200,100,France,2ème ligne,2,,,,,,,95,Bordeaux
9866,BOTITU Vilimoni,23,179,93,Fidji,Centre,12,3,,,,,,847,Castres
9889,AMATOSERO Miles,19,203,125,Australie,2ème ligne,4,,,,,,,163,Clermont
9892,ANNANDALE Edward,21,200,116,Nouvelle-Zélande,2ème ligne,3,,,,,,,93,Clermont
9971,JONAS Joe,21,180,90,Afrique du sud,Arrière,8,2,,,,,,403,Biarritz
10004,SÉGUÉLA Nino,20,177,81,France,Ailier,2,,,,,,,79,Perpignan
10021,JAUNEAU Baptiste,18,178,81,France,Mêlée,1,,,,,,,10,Clermont
10251,DANGLOT Jules,20,170,74,France,Mêlée,12,,,,,,,276,Toulon
10307,GREYLING Ru-Hann,22,181,102,Afrique du sud,Talonneur,1,,,,,,,44,Montpellier
10350,DOAN Martin,23,176,76,France,Mêlée,5,1,,,,,,331,Montpellier
10468,OBATOYINBO Harrison,21,187,92,Angleterre,Ailier,2,,,,,,,139,Toulon
10572,VEREDAMU Tavite,32,192,108,Fidji,Ailier,5,1,,,,,,302,Lyon
10749,PARISIEN Alfred,20,182,93,France,Centre,2,,,,,,,117,Lyon
10755,ROZIÈRE Thomas,21,177,89,France,Ailier,7,,,,,,,220,Clermont
10866,LACOSTE Tanguy,19,188,85,France,Ouverture,1,,,,,,,18,Brive
10870,LAFON Mathis,22,185,95,France,Centre,1,,,,,,,0,La Rochelle
10941,FAKATIKA Akato,21,180,118,France,Pilier,2,,,,,,,50,Perpignan
10942,GLOVER Harry,26,192,97,Angleterre,Centre,7,1,,,,,,560,Paris
11004,MAÏAU Jonathan,20,174,85,France,Talonneur,4,,,,,,,37,Racing 92
11013,MAYANAVANUA Temo,24,197,120,Fidji,2ème ligne,12,1,,,,1,,510,Lyon
11023,PLANA Baptiste,22,182,85,France,Ailier,2,,,,,,,71,Perpignan
11059,NINIASHVILI Davit,19,186,87,Géorgie,Ailier,11,2,,,,1,,511,Lyon
11087,BOUBILA Ian,20,182,110,France,Talonneur,6,,,,,,,123,Toulouse
11123,MEKA Simon,21,193,110,France,2ème ligne,3,,,,,,,123,Castres
11204,MAGURANYANGA TJ,19,194,101,Zimbabwe,Arrière,1,,,,,,,0,Clermont
11279,CHARCOSSET Yanis,20,184,104,France,Talonneur,7,1,,,,,,114,Lyon
11604,EYMERI Aubin,19,183,82,France,Mêlée,4,1,,,,,,27,Montpellier
11745,WAINIQOLO Jiuta,22,187,97,Fidji,Ailier,8,1,,,,,,635,Toulon
11772,BAUDONNE Maxime,19,188,97,France,3ème ligne,3,,,,,,,138,Racing 92
